name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hanoi,2024-01-22,14.7,10,12.3,14.7,10,12.3,9.2,82,3.78,100,12.5,rain,0,0,61.2,22.3,33.6,1023.4,100,8.4,11.3,1.1,1,10,2024-01-22T06:36:03,2024-01-22T17:40:06,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-23,12.4,8,10.3,12.4,6.4,9.8,4.3,66.8,0.195,100,4.17,rain,0,0,38.2,16.6,29.1,1029,92.5,10,48.8,4.2,2,10,2024-01-23T06:35:56,2024-01-23T17:40:46,0.41,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-24,12,9,10.1,12,6.5,9.3,3.9,65.4,0,0,0,,0,0,27,18.4,20.2,1029.3,99.5,10,57.9,5,3,10,2024-01-24T06:35:48,2024-01-24T17:41:26,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-25,13,9.9,11.3,13,8.8,11.3,4.4,62.7,0,0,0,,0,0,16.9,13,18.8,1029.1,98.4,10,70.1,6.2,3,10,2024-01-25T06:35:38,2024-01-25T17:42:05,0.48,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-26,14,11,12,14,11,12,5.6,65.2,0.002,100,4.17,rain,0,0,11.9,18.4,17.6,1027.9,98.9,10,64.7,5.6,3,10,2024-01-26T06:35:26,2024-01-26T17:42:45,0.5,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-27,12,9,10.8,12,6.7,10.6,7.4,80.2,2.366,100,12.5,rain,0,0,14.4,16.6,21.6,1026.9,99.1,8.6,39.4,3.5,2,10,2024-01-27T06:35:14,2024-01-27T17:43:24,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-28,14.3,11,12.4,14.3,11,12.4,7.2,70.9,0,0,0,,0,0,17.6,16.6,20.1,1026.7,99.7,10,63.6,5.4,3,10,2024-01-28T06:35:00,2024-01-28T17:44:02,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-29,15.1,11,12.9,15.1,11,12.9,10.1,83,4.001,100,4.17,rain,0,0,10.8,11.2,11.2,1023.1,99.3,9,92,8,4,10,2024-01-29T06:34:45,2024-01-29T17:44:41,0.61,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-30,16.7,13,14.9,16.7,13,14.9,13.1,89.2,0.1,100,8.33,rain,0,0,15.8,7.6,25.4,1019.5,96.8,5.2,145.1,12.4,7,10,2024-01-30T06:34:28,2024-01-30T17:45:19,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-01-31,19.1,15,16.8,19.1,15,16.8,15.6,92.8,0.307,100,12.5,rain,0,0,14.8,11.2,309.3,1017.1,93.9,4,84.9,7.3,4,10,2024-01-31T06:34:11,2024-01-31T17:45:56,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
