temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
24,24,23,94.15,0,0,0,0,29.9,12.1,120,1011.5,100,6,0,0,0,10
24.3,24.3,22.9,91.7,0,0,0,0,26.3,3.5,111,1011.2,96.3,8.3,0,0,0,10
24,24,23,94.15,0,0,0,0,23.4,10.3,90,1011,89,5.5,0,0,0,10
24,24,23,94.15,0,0,0,0,19.8,8.5,85,1011,89,5.5,0,0,0,10
24,24,22.9,93.47,0,0,0,0,16.6,4.6,118,1011.7,96,8.1,0,0,0,10
23.5,23.5,23,97.03,0,0,0,0,14.4,7.6,70,1012,89,4,0,0,0,10
23,23,23,100,0,0,0,0,15.1,6.5,65,1012.5,89,3.5,0,0,0,10
24,24,22.9,93.47,0,0,0,0,16.9,4.3,113,1013.2,96.1,3.5,11,0,0,10
24.5,24.5,23,91.36,0,0,0,0,16.9,6.5,110,1014.5,94,6,101,0.4,1,10
25.5,25.5,23,86.07,0,0,0,0,17.3,7.6,135,1015,89,8,220,0.8,2,10
26.2,26.2,22.9,82.02,0,0,0,0,13.7,5.7,135,1015.1,96.2,9.7,340,1.2,3,5
27,29.6,23,78.78,0,0,0,0,14,11.2,105,1014.5,89,7,364,1.3,4,3
27,29.2,22,74.14,0.1,100,0,0,14.8,10.3,120,1014,89,8,207,0.7,2,3
26.9,29.2,22.3,75.87,0,0,0,0,17.6,5.7,105,1013.2,95.9,9.9,137,0.5,1,10
27,29.4,22.5,76.43,0,0,0,0,19.8,12.1,130,1012.5,89,10,103,0.4,1,3
27,29.6,23,78.78,0,0,0,0,21.6,13.9,120,1012,89,7.5,73,0.3,1,3
26.7,29,22.6,78.18,0,0,0,0,22.3,9.5,128,1012.2,98.3,9.1,58,0.2,1,10
25,25,23,88.68,0,0,0,0,22.7,13,85,1012.5,89,5,24,0.1,0,10
24.5,24.5,23,91.37,0,0,0,0,25.6,10.3,95,1013,89,5.5,1,0,0,3
24.9,24.9,23,89.59,0,0,0,0,26.3,7.1,98,1013.8,95.2,8.8,0,0,0,3
24,24,23,94.15,0,0,0,0,25.9,13.9,115,1014,89,6.5,0,0,0,10
24,24,22,88.6,0,0,0,0,24.5,13.9,115,1014,89,9,0,0,0,3
24.1,24.1,22.6,91.15,0,0,0,0,23,5.3,93,1014.3,89.7,9.7,0,0,0,3
24,24,22,88.6,0,0,0,0,22.3,5.4,75,1014,94,7.5,0,0,0,3
23.5,23.5,22,91.31,0.1,100,0,0,19.8,7.6,80,1014,69,7,0,0,0,3
23.7,23.7,22.6,93.37,0,0,0,0,15.8,4.4,119,1013.9,89.8,8.9,0,0,0,10
23,23,22,94.11,0,0,0,0,13.7,6.5,90,1013,89,5,0,0,0,10
23,23,22,94.11,0.1,100,0,0,13.3,6.5,70,1013,94,5,0,0,0,10
23.6,23.6,22.7,94.87,0,0,0,0,13.3,2.2,60,1013.5,100,8.3,0,0,0,10
23,23,22.5,97.02,0.1,100,0,0,11.9,6.5,75,1014,89,5,0,0,0,10
23,23,22,94.11,0.1,100,0,0,12.2,6.5,90,1014.5,95,4.5,0,0,0,10
23.9,23.9,22.4,91.5,0,0,0,0,11.9,4.6,96,1015.4,98.1,4.1,2,0,0,10
24,24,22.5,91.34,0,0,0,0,12.6,6.5,80,1016,94,4,23,0.1,0,10
24.5,24.5,23,91.36,0,0,0,0,13.7,9.4,85,1017,100,4,51,0.2,1,10
25.2,25.2,22.9,86.98,0,0,0,0,15.5,3.3,80,1017.2,98.1,7.9,80,0.3,1,10
26,26,23,83.57,0.1,100,0,0,18.7,7.4,85,1016.5,89,4.5,101,0.4,1,10
27,29.6,23,78.78,0.1,100,0,0,19.1,2.7,147.4,1015.5,89,5,150,0.5,2,10
26.8,29.2,22.6,77.82,0,0,0,0,19.1,1.1,140,1014.8,89.6,9.4,127,0.5,1,10
26,26,23,83.57,0,0,0,0,21.2,17.5,115,1014,69,7,110,0.4,1,10
26,26,23,83.57,0,0,0,0,23.8,14.8,120,1014,89,9,82,0.3,1,10
26.4,26.4,22.9,81.34,0,0,0,0,24.5,8.8,134,1014,83.1,9.8,56,0.2,1,10
25.5,25.5,23,86.09,0,0,0,0,22.7,12.1,115,1014,89,10,27,0.1,0,10
25,25,23,88.68,0,0,0,0,22.7,13,120,1015,88,10,1,0,0,10
24.8,24.8,22.2,85.47,0,0,0,0,27.4,6.7,129,1015.1,69,9.8,0,0,0,10
24.5,24.5,22,85.99,0,0,0,0,28.8,13.9,130,1015.5,89.3,10,0,0,0,10
24,24,22,88.6,0,0,0,0,28.8,14.8,130,1016,25,9,0,0,0,10
23.4,23.4,22.1,92.72,0,0,0,0,24.8,7.9,133,1016.2,40.3,9.1,0,0,0,10
22,22,21,94.06,0,0,0,0,21.2,6.5,95,1016,27.5,5,0,0,0,10
22.5,22.5,21.5,94.08,0,0,0,0,19.4,8.5,115,1016,30,4.5,0,0,0,10
22.7,22.7,21.6,93.04,0,0,0,0,21.2,2.9,140,1015.9,42.5,7.8,0,0,0,10
